Delivery Date,Hour Ending,Settlement Point,RTM Price,DAM Price
2023-01-01,1,LZ_HOUSTON,-2.56,10.36
2023-01-01,1,LZ_NORTH,-2.56,10.7
2023-01-01,1,LZ_SOUTH,-2.56,8.22
2023-01-01,1,LZ_WEST,-2.56,20.48
2023-01-01,2,LZ_HOUSTON,-1.49,9.84
2023-01-01,2,LZ_NORTH,-1.51,10.1
2023-01-01,2,LZ_SOUTH,-1.48,7.68
2023-01-01,2,LZ_WEST,-1.23,20.81
2023-01-01,3,LZ_HOUSTON,-1.01,8.58
2023-01-01,3,LZ_NORTH,-1.01,8.65
2023-01-01,3,LZ_SOUTH,-1.0,7.3
2023-01-01,3,LZ_WEST,-0.92,18.49
2023-01-01,4,LZ_HOUSTON,-0.06,8.19
2023-01-01,4,LZ_NORTH,-0.07,8.14
2023-01-01,4,LZ_SOUTH,-0.05,7.49
2023-01-01,4,LZ_WEST,0.11,17.55
2023-01-01,5,LZ_HOUSTON,0.0,8.34
2023-01-01,5,LZ_NORTH,0.0,8.27
2023-01-01,5,LZ_SOUTH,0.0,7.89
2023-01-01,5,LZ_WEST,0.0,17.19
2023-01-01,6,LZ_HOUSTON,-1.55,8.59
2023-01-01,6,LZ_NORTH,-1.55,8.26
2023-01-01,6,LZ_SOUTH,-1.55,9.2
2023-01-01,6,LZ_WEST,-1.55,17.49
2023-01-01,7,LZ_HOUSTON,2.58,13.85
2023-01-01,7,LZ_NORTH,2.43,13.7
2023-01-01,7,LZ_SOUTH,2.72,14.28
2023-01-01,7,LZ_WEST,7.47,22.2
2023-01-01,8,LZ_HOUSTON,12.53,14.45
2023-01-01,8,LZ_NORTH,11.85,14.19
2023-01-01,8,LZ_SOUTH,13.21,15.06
2023-01-01,8,LZ_WEST,35.61,23.93
2023-01-01,9,LZ_HOUSTON,23.83,15.08
2023-01-01,9,LZ_NORTH,22.34,15.07
2023-01-01,9,LZ_SOUTH,25.29,15.6
2023-01-01,9,LZ_WEST,75.61,19.31
2023-01-01,10,LZ_HOUSTON,11.06,15.03
2023-01-01,10,LZ_NORTH,10.86,15.05
2023-01-01,10,LZ_SOUTH,11.25,14.77
2023-01-01,10,LZ_WEST,17.62,17.65
2023-01-01,11,LZ_HOUSTON,20.23,17.28
2023-01-01,11,LZ_NORTH,20.22,17.25
2023-01-01,11,LZ_SOUTH,20.24,16.02
2023-01-01,11,LZ_WEST,20.58,19.87
2023-01-01,12,LZ_HOUSTON,22.04,17.88
2023-01-01,12,LZ_NORTH,20.9,17.82
2023-01-01,12,LZ_SOUTH,23.12,15.59
2023-01-01,12,LZ_WEST,62.01,20.62
2023-01-01,13,LZ_HOUSTON,13.33,17.57
2023-01-01,13,LZ_NORTH,12.83,17.53
