Delivery Date,Hour Ending,Settlement Point,RTM Price,DAM Price
2022-01-01,1,LZ_HOUSTON,52.75,33.24
2022-01-01,1,LZ_NORTH,53.96,33.37
2022-01-01,1,LZ_SOUTH,47.84,28.81
2022-01-01,1,LZ_WEST,54.61,34.72
2022-01-01,2,LZ_HOUSTON,31.98,25.9
2022-01-01,2,LZ_NORTH,32.88,25.21
2022-01-01,2,LZ_SOUTH,28.69,21.17
2022-01-01,2,LZ_WEST,33.4,26.25
2022-01-01,3,LZ_HOUSTON,28.82,23.13
2022-01-01,3,LZ_NORTH,29.93,22.92
2022-01-01,3,LZ_SOUTH,21.52,19.32
2022-01-01,3,LZ_WEST,30.58,23.4
2022-01-01,4,LZ_HOUSTON,22.82,18.57
2022-01-01,4,LZ_NORTH,23.4,18.89
2022-01-01,4,LZ_SOUTH,18.16,15.43
2022-01-01,4,LZ_WEST,23.72,16.61
2022-01-01,5,LZ_HOUSTON,8.2,12.78
2022-01-01,5,LZ_NORTH,8.59,13.02
2022-01-01,5,LZ_SOUTH,5.5,9.57
2022-01-01,5,LZ_WEST,8.81,8.77
2022-01-01,6,LZ_HOUSTON,21.7,15.66
2022-01-01,6,LZ_NORTH,22.15,15.87
2022-01-01,6,LZ_SOUTH,16.97,12.64
2022-01-01,6,LZ_WEST,22.5,10.41
2022-01-01,7,LZ_HOUSTON,7.66,17.12
2022-01-01,7,LZ_NORTH,7.52,17.51
2022-01-01,7,LZ_SOUTH,6.43,13.45
2022-01-01,7,LZ_WEST,7.51,6.51
2022-01-01,8,LZ_HOUSTON,19.86,18.97
2022-01-01,8,LZ_NORTH,19.69,18.47
2022-01-01,8,LZ_SOUTH,18.07,14.76
2022-01-01,8,LZ_WEST,19.68,6.36
2022-01-01,9,LZ_HOUSTON,20.35,19.97
2022-01-01,9,LZ_NORTH,20.59,19.77
2022-01-01,9,LZ_SOUTH,24.15,15.93
2022-01-01,9,LZ_WEST,20.7,4.65
2022-01-01,10,LZ_HOUSTON,-0.22,21.76
2022-01-01,10,LZ_NORTH,-0.06,20.13
2022-01-01,10,LZ_SOUTH,2.24,17.41
2022-01-01,10,LZ_WEST,0.0,2.1
2022-01-01,11,LZ_HOUSTON,20.26,24.45
2022-01-01,11,LZ_NORTH,20.32,22.34
2022-01-01,11,LZ_SOUTH,24.02,20.12
2022-01-01,11,LZ_WEST,-0.02,1.08
2022-01-01,12,LZ_HOUSTON,22.07,27.35
2022-01-01,12,LZ_NORTH,22.28,25.56
2022-01-01,12,LZ_SOUTH,26.37,24.27
2022-01-01,12,LZ_WEST,-2.26,1.87
2022-01-01,13,LZ_HOUSTON,23.94,28.4
2022-01-01,13,LZ_NORTH,23.89,26.32
2022-01-01,13,LZ_SOUTH,23.29,26.68
2022-01-01,13,LZ_WEST,-0.45,1.05
2022-01-01,14,LZ_HOUSTON,26.06,29.82
2022-01-01,14,LZ_NORTH,24.78,27.38
2022-01-01,14,LZ_SOUTH,26.64,29.04
2022-01-01,14,LZ_WEST,0.42,0.96
2022-01-01,15,LZ_HOUSTON,27.01,30.08
2022-01-01,15,LZ_NORTH,26.04,26.79
2022-01-01,15,LZ_SOUTH,27.23,32.76
2022-01-01,15,LZ_WEST,1.08,0.65
2022-01-01,16,LZ_HOUSTON,27.0,28.49
2022-01-01,16,LZ_NORTH,23.15,25.23
2022-01-01,16,LZ_SOUTH,49.53,31.62
2022-01-01,16,LZ_WEST,1.24,0.66
2022-01-01,17,LZ_HOUSTON,24.18,33.1
2022-01-01,17,LZ_NORTH,21.93,30.39
2022-01-01,17,LZ_SOUTH,26.05,36.0
2022-01-01,17,LZ_WEST,0.55,12.26
2022-01-01,18,LZ_HOUSTON,27.48,43.65
2022-01-01,18,LZ_NORTH,20.78,43.2
2022-01-01,18,LZ_SOUTH,74.75,46.26
2022-01-01,18,LZ_WEST,-0.97,31.12
2022-01-01,19,LZ_HOUSTON,23.72,30.16
2022-01-01,19,LZ_NORTH,22.31,30.45
2022-01-01,19,LZ_SOUTH,24.36,29.04
2022-01-01,19,LZ_WEST,-3.49,22.15
2022-01-01,20,LZ_HOUSTON,22.99,27.25
2022-01-01,20,LZ_NORTH,22.22,27.64
2022-01-01,20,LZ_SOUTH,22.91,25.62
2022-01-01,20,LZ_WEST,-3.42,18.07
2022-01-01,21,LZ_HOUSTON,22.43,24.75
2022-01-01,21,LZ_NORTH,21.98,25.07
2022-01-01,21,LZ_SOUTH,21.93,22.9
2022-01-01,21,LZ_WEST,-4.22,14.48
2022-01-01,22,LZ_HOUSTON,22.27,25.0
2022-01-01,22,LZ_NORTH,21.96,25.42
2022-01-01,22,LZ_SOUTH,21.75,22.59
2022-01-01,22,LZ_WEST,-4.19,12.42
2022-01-01,23,LZ_HOUSTON,21.62,25.64
2022-01-01,23,LZ_NORTH,21.46,25.91
2022-01-01,23,LZ_SOUTH,20.98,23.88
2022-01-01,23,LZ_WEST,-1.29,16.68
2022-01-01,24,LZ_HOUSTON,18.78,25.24
2022-01-01,24,LZ_NORTH,18.34,25.31
2022-01-01,24,LZ_SOUTH,18.82,23.22
2022-01-01,24,LZ_WEST,0.26,16.61
2022-01-02,1,LZ_HOUSTON,12.39,27.1
2022-01-02,1,LZ_NORTH,12.39,27.3
2022-01-02,1,LZ_SOUTH,12.39,26.65
2022-01-02,1,LZ_WEST,12.39,24.75
2022-01-02,2,LZ_HOUSTON,9.29,25.22
2022-01-02,2,LZ_NORTH,9.76,25.39
2022-01-02,2,LZ_SOUTH,9.08,24.69
2022-01-02,2,LZ_WEST,9.02,23.07
2022-01-02,3,LZ_HOUSTON,2.05,24.17
2022-01-02,3,LZ_NORTH,2.31,24.32
2022-01-02,3,LZ_SOUTH,1.94,23.65
2022-01-02,3,LZ_WEST,1.91,23.03
2022-01-02,4,LZ_HOUSTON,18.88,22.63
2022-01-02,4,LZ_NORTH,21.23,23.28
2022-01-02,4,LZ_SOUTH,17.82,20.31
2022-01-02,4,LZ_WEST,17.59,21.79
2022-01-02,5,LZ_HOUSTON,6.2,23.18
2022-01-02,5,LZ_NORTH,8.39,24.17
2022-01-02,5,LZ_SOUTH,5.07,18.59
2022-01-02,5,LZ_WEST,5.09,22.22
2022-01-02,6,LZ_HOUSTON,19.25,25.28
2022-01-02,6,LZ_NORTH,22.94,26.29
2022-01-02,6,LZ_SOUTH,15.11,20.54
2022-01-02,6,LZ_WEST,18.5,24.55
2022-01-02,7,LZ_HOUSTON,19.8,29.83
2022-01-02,7,LZ_NORTH,23.46,30.94
2022-01-02,7,LZ_SOUTH,12.88,24.22
2022-01-02,7,LZ_WEST,19.82,30.61
2022-01-02,8,LZ_HOUSTON,20.69,37.23
2022-01-02,8,LZ_NORTH,23.28,39.34
2022-01-02,8,LZ_SOUTH,11.2,29.65
2022-01-02,8,LZ_WEST,22.11,38.1
2022-01-02,9,LZ_HOUSTON,22.26,43.16
2022-01-02,9,LZ_NORTH,23.45,47.48
2022-01-02,9,LZ_SOUTH,15.41,34.77
2022-01-02,9,LZ_WEST,24.2,46.28
2022-01-02,10,LZ_HOUSTON,20.48,36.77
2022-01-02,10,LZ_NORTH,23.47,38.33
2022-01-02,10,LZ_SOUTH,16.92,30.91
2022-01-02,10,LZ_WEST,19.85,37.38
2022-01-02,11,LZ_HOUSTON,23.06,34.95
2022-01-02,11,LZ_NORTH,23.59,36.68
2022-01-02,11,LZ_SOUTH,20.12,29.15
2022-01-02,11,LZ_WEST,23.83,35.58
2022-01-02,12,LZ_HOUSTON,27.68,32.89
2022-01-02,12,LZ_NORTH,28.56,35.87
2022-01-02,12,LZ_SOUTH,22.44,29.4
2022-01-02,12,LZ_WEST,29.05,34.65
2022-01-02,13,LZ_HOUSTON,23.35,29.73
2022-01-02,13,LZ_NORTH,23.87,31.98
2022-01-02,13,LZ_SOUTH,20.32,26.54
2022-01-02,13,LZ_WEST,24.16,31.16
2022-01-02,14,LZ_HOUSTON,22.03,26.8
2022-01-02,14,LZ_NORTH,22.54,27.85
2022-01-02,14,LZ_SOUTH,18.88,23.86
2022-01-02,14,LZ_WEST,22.83,27.71
2022-01-02,15,LZ_HOUSTON,20.16,25.82
2022-01-02,15,LZ_NORTH,21.03,26.8
2022-01-02,15,LZ_SOUTH,14.54,23.86
2022-01-02,15,LZ_WEST,21.6,26.63
2022-01-02,16,LZ_HOUSTON,18.36,25.34
2022-01-02,16,LZ_NORTH,19.38,26.27
2022-01-02,16,LZ_SOUTH,10.76,23.04
2022-01-02,16,LZ_WEST,20.02,26.12
2022-01-02,17,LZ_HOUSTON,20.85,30.48
2022-01-02,17,LZ_NORTH,20.88,31.65
2022-01-02,17,LZ_SOUTH,3.59,26.25
2022-01-02,17,LZ_WEST,21.25,31.46
2022-01-02,18,LZ_HOUSTON,25.54,78.2
2022-01-02,18,LZ_NORTH,27.85,85.8
2022-01-02,18,LZ_SOUTH,6.49,70.09
2022-01-02,18,LZ_WEST,28.77,86.52
2022-01-02,19,LZ_HOUSTON,35.24,91.26
2022-01-02,19,LZ_NORTH,37.32,99.58
2022-01-02,19,LZ_SOUTH,15.73,84.57
2022-01-02,19,LZ_WEST,38.49,99.86
2022-01-02,20,LZ_HOUSTON,36.19,70.76
2022-01-02,20,LZ_NORTH,38.31,73.45
2022-01-02,20,LZ_SOUTH,33.36,68.38
2022-01-02,20,LZ_WEST,38.88,76.08
2022-01-02,21,LZ_HOUSTON,37.92,61.47
2022-01-02,21,LZ_NORTH,38.89,63.14
2022-01-02,21,LZ_SOUTH,38.47,60.82
2022-01-02,21,LZ_WEST,39.17,66.53
2022-01-02,22,LZ_HOUSTON,36.65,48.18
2022-01-02,22,LZ_NORTH,37.18,48.72
2022-01-02,22,LZ_SOUTH,37.22,48.79
2022-01-02,22,LZ_WEST,37.34,52.36
2022-01-02,23,LZ_HOUSTON,34.34,39.37
2022-01-02,23,LZ_NORTH,34.35,39.31
2022-01-02,23,LZ_SOUTH,34.35,39.71
2022-01-02,23,LZ_WEST,34.36,41.95
2022-01-02,24,LZ_HOUSTON,34.56,36.85
2022-01-02,24,LZ_NORTH,34.56,36.76
2022-01-02,24,LZ_SOUTH,34.56,36.95
2022-01-02,24,LZ_WEST,34.56,39.14
2022-01-03,1,LZ_HOUSTON,35.17,30.88
2022-01-03,1,LZ_NORTH,35.32,31.02
2022-01-03,1,LZ_SOUTH,35.5,31.16
2022-01-03,1,LZ_WEST,35.35,32.53
2022-01-03,2,LZ_HOUSTON,34.58,30.36
2022-01-03,2,LZ_NORTH,34.73,30.46
2022-01-03,2,LZ_SOUTH,34.89,30.57
2022-01-03,2,LZ_WEST,34.75,31.92
2022-01-03,3,LZ_HOUSTON,35.04,29.96
2022-01-03,3,LZ_NORTH,35.19,30.05
2022-01-03,3,LZ_SOUTH,35.36,30.15
2022-01-03,3,LZ_WEST,35.22,31.4
2022-01-03,4,LZ_HOUSTON,36.39,29.6
2022-01-03,4,LZ_NORTH,36.56,29.66
2022-01-03,4,LZ_SOUTH,36.75,29.76
2022-01-03,4,LZ_WEST,36.59,30.95
2022-01-03,5,LZ_HOUSTON,36.77,30.48
2022-01-03,5,LZ_NORTH,36.97,31.08
2022-01-03,5,LZ_SOUTH,37.22,31.17
2022-01-03,5,LZ_WEST,37.01,32.58
2022-01-03,6,LZ_HOUSTON,36.18,38.32
2022-01-03,6,LZ_NORTH,36.34,41.53
2022-01-03,6,LZ_SOUTH,36.53,39.21
2022-01-03,6,LZ_WEST,36.37,41.23
2022-01-03,7,LZ_HOUSTON,40.1,92.43
2022-01-03,7,LZ_NORTH,40.33,98.68
2022-01-03,7,LZ_SOUTH,40.61,94.12
2022-01-03,7,LZ_WEST,40.37,97.51
2022-01-03,8,LZ_HOUSTON,53.71,100.17
2022-01-03,8,LZ_NORTH,54.09,103.67
2022-01-03,8,LZ_SOUTH,51.72,100.28
2022-01-03,8,LZ_WEST,54.17,101.93
2022-01-03,9,LZ_HOUSTON,40.41,48.41
2022-01-03,9,LZ_NORTH,40.62,48.89
2022-01-03,9,LZ_SOUTH,40.87,47.36
2022-01-03,9,LZ_WEST,40.65,47.36
2022-01-03,10,LZ_HOUSTON,27.1,35.83
2022-01-03,10,LZ_NORTH,27.11,35.45
2022-01-03,10,LZ_SOUTH,27.13,35.07
2022-01-03,10,LZ_WEST,27.12,31.42
2022-01-03,11,LZ_HOUSTON,26.95,30.49
2022-01-03,11,LZ_NORTH,26.47,29.68
2022-01-03,11,LZ_SOUTH,26.12,31.51
2022-01-03,11,LZ_WEST,26.4,27.18
2022-01-03,12,LZ_HOUSTON,24.78,28.64
2022-01-03,12,LZ_NORTH,24.63,27.88
2022-01-03,12,LZ_SOUTH,24.51,29.61
