Date,Hour Ending,HOUSTON_DA_Forecast,HOUSTON_RT_Actual,NORTH_DA_Forecast,NORTH_RT_Actual,SOUTH_DA_Forecast,SOUTH_RT_Actual,WEST_DA_Forecast,WEST_RT_Actual
01-01-2022,1,2034.7199999999998,1810.128,2034.7199999999998,1810.128,4069.4399999999996,3620.256,4747.679999999999,4223.632
01-01-2022,2,2138.73,1932.9194999999997,2138.73,1932.9194999999997,4277.46,3865.8389999999995,4990.37,4510.1455
01-01-2022,3,2341.38,2155.4339999999997,2341.38,2155.4339999999997,4682.76,4310.8679999999995,5463.22,5029.346
01-01-2022,4,2567.52,2470.1655,2567.52,2470.1655,5135.04,4940.331,5990.879999999999,5763.7195
01-01-2022,5,2805.96,2750.6865,2805.96,2750.6865,5611.92,5501.373,6547.24,6418.268499999999
01-01-2022,6,3020.895,2724.4845,3020.895,2724.4845,6041.79,5448.969,7048.754999999999,6357.130499999999
01-01-2022,7,3203.1749999999997,2780.7629999999995,3203.1749999999997,2780.7629999999995,6406.349999999999,5561.525999999999,7474.075,6488.446999999999
01-01-2022,8,2748.3315,2747.1315,2748.3315,2747.1315,5496.663,5494.263,6412.773499999999,6409.973499999999
01-01-2022,9,2798.2335,2796.8835,2798.2335,2796.8835,5596.467,5593.767,6529.211499999999,6526.0615
01-01-2022,10,3058.0935,3056.5935,3058.0935,3056.5935,6116.187,6113.187,7135.5515,7132.0515
01-01-2022,11,3141.8295,3140.1794999999997,3141.8295,3140.1794999999997,6283.659,6280.3589999999995,7330.935499999999,7327.085499999999
01-01-2022,12,3072.624,3070.824,3072.624,3070.824,6145.248,6141.648,7169.455999999999,7165.255999999999
01-01-2022,13,2991.27,2989.3199999999997,2991.27,2989.3199999999997,5982.54,5978.639999999999,6979.629999999999,6975.079999999999
01-01-2022,14,2942.1105,2940.0105,2942.1105,2940.0105,5884.221,5880.021,6864.924499999999,6860.0244999999995
01-01-2022,15,2868.303,2866.053,2868.303,2866.053,5736.606,5732.106,6692.706999999999,6687.456999999999
01-01-2022,16,2848.9395,2846.5395,2848.9395,2846.5395,5697.879,5693.079,6647.5255,6641.925499999999
01-01-2022,17,2837.9909999999995,2835.441,2837.9909999999995,2835.441,5675.981999999999,5670.882,6621.978999999999,6616.0289999999995
01-01-2022,18,2856.7439999999997,2854.044,2856.7439999999997,2854.044,5713.487999999999,5708.088,6665.735999999999,6659.436
01-01-2022,19,3072.525,2978.8875,3072.525,2978.8875,6145.05,5957.775,7169.224999999999,6950.737499999999
01-01-2022,20,3329.4449999999997,3066.5985,3329.4449999999997,3066.5985,6658.889999999999,6133.197,7768.704999999999,7155.3965
01-01-2022,21,3510.0899999999997,3129.0405,3510.0899999999997,3129.0405,7020.179999999999,6258.081,8190.209999999999,7301.094499999999
01-01-2022,22,3559.3199999999997,3207.0285,3559.3199999999997,3207.0285,7118.639999999999,6414.057,8305.08,7483.066499999999
01-01-2022,23,3484.83,3264.249,3484.83,3264.249,6969.66,6528.498,8131.2699999999995,7616.580999999999
01-01-2022,24,3388.35,3232.3425,3388.35,3232.3425,6776.7,6464.685,7906.15,7542.1325
01-02-2022,1,3300.21,3103.134,3300.21,3103.134,6600.42,6206.268,7700.49,7240.646
01-02-2022,2,3220.845,2991.6915,3220.845,2991.6915,6441.69,5983.383,7515.304999999999,6980.6134999999995
01-02-2022,3,3250.755,2995.128,3250.755,2995.128,6501.51,5990.256,7585.094999999999,6988.632
01-02-2022,4,3364.4100000000003,3038.7104999999997,3364.4100000000003,3038.7104999999997,6728.820000000001,6077.420999999999,7850.29,7090.3245
01-02-2022,5,3418.0350000000003,3112.0919999999996,3418.0350000000003,3112.0919999999996,6836.070000000001,6224.183999999999,7975.415,7261.547999999999
01-02-2022,6,3345.06,3044.7405,3345.06,3044.7405,6690.12,6089.481,7805.14,7104.394499999999
01-02-2022,7,3137.5649999999996,2990.8125,3137.5649999999996,2990.8125,6275.129999999999,5981.625,7320.984999999999,6978.5625
01-02-2022,8,2898.525,2906.571,2898.525,2906.571,5797.05,5813.142,6763.224999999999,6781.999
01-02-2022,9,2854.08,2974.227,2854.08,2974.227,5708.16,5948.454,6659.5199999999995,6939.862999999999
01-02-2022,10,3261.72,3190.527,3261.72,3190.527,6523.44,6381.054,7610.679999999999,7444.562999999999
01-02-2022,11,3177.6899999999996,2884.806,3177.6899999999996,2884.806,6355.379999999999,5769.612,7414.609999999999,6731.214
01-02-2022,12,2988.1949999999997,2541.2985000000003,2988.1949999999997,2541.2985000000003,5976.389999999999,5082.597000000001,6972.454999999999,5929.6965
01-02-2022,13,2771.88,2508.7125,2771.88,2508.7125,5543.76,5017.425,6467.72,5853.662499999999
01-02-2022,14,2627.4149999999995,2414.4435,2627.4149999999995,2414.4435,5254.829999999999,4828.887,6130.634999999999,5633.7015
01-02-2022,15,2560.3199999999997,2321.0625,2560.3199999999997,2321.0625,5120.639999999999,4642.125,5974.079999999999,5415.8125
01-02-2022,16,2418.15,2166.0195,2418.15,2166.0195,4836.3,4332.039,5642.349999999999,5054.045499999999
01-02-2022,17,1865.2649999999999,1700.5064999999997,1865.2649999999999,1700.5064999999997,3730.5299999999997,3401.0129999999995,4352.285,3967.8484999999996
01-02-2022,18,1131.33,904.3874999999999,1131.33,904.3874999999999,2262.66,1808.7749999999999,2639.77,2110.2374999999997
01-02-2022,19,871.4549999999999,731.259,871.4549999999999,731.259,1742.9099999999999,1462.518,2033.3949999999998,1706.271
01-02-2022,20,762.225,722.259,762.225,722.259,1524.45,1444.518,1778.5249999999999,1685.271
01-02-2022,21,732.5400000000001,739.401,732.5400000000001,739.401,1465.0800000000002,1478.802,1709.26,1725.269
01-02-2022,22,680.9849999999999,746.3265,680.9849999999999,746.3265,1361.9699999999998,1492.653,1588.9649999999997,1741.4285
01-02-2022,23,721.38,736.3349999999999,721.38,736.3349999999999,1442.76,1472.6699999999998,1683.2199999999998,1718.1149999999998
01-02-2022,24,797.745,727.6229999999999,797.745,727.6229999999999,1595.49,1455.2459999999999,1861.405,1697.7869999999998
01-03-2022,1,890.9849999999999,736.134,890.9849999999999,736.134,1781.9699999999998,1472.268,2078.9649999999997,1717.646
01-03-2022,2,1033.95,751.3635,1033.95,751.3635,2067.9,1502.727,2412.5499999999997,1753.1815
01-03-2022,3,1186.53,769.2734999999999,1186.53,769.2734999999999,2373.06,1538.5469999999998,2768.5699999999997,1794.9714999999999
01-03-2022,4,1337.715,794.052,1337.715,794.052,2675.43,1588.104,3121.335,1852.788
01-03-2022,5,1412.61,851.0534999999999,1412.61,851.0534999999999,2825.22,1702.1069999999997,3296.0899999999997,1985.7914999999998
01-03-2022,6,1486.695,949.3425,1486.695,949.3425,2973.39,1898.685,3468.9549999999995,2215.1324999999997
01-03-2022,7,1604.415,984.078,1604.415,984.078,3208.83,1968.156,3743.6349999999998,2296.182
01-03-2022,8,1660.695,1064.3429999999998,1660.695,1064.3429999999998,3321.39,2128.6859999999997,3874.9549999999995,2483.4669999999996
